step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0,0.000000,0,1,9.401557,22.710714,0.000000,71.667000,-0.163500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
1,0.016667,0,1,8.871164,21.657555,0.000000,19.460739,-32.038242,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2,0.033333,0,1,9.144874,21.094276,0.000000,17.458525,-33.252953,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,0.050000,0,1,9.641266,19.944975,0.000000,24.029833,-53.672432,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,0.066667,0,1,9.829263,19.085453,0.000000,15.986062,-52.335213,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,0.083333,0,1,9.930288,18.384090,0.000000,9.658940,-45.525009,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
6,0.100000,0,1,9.995206,17.728342,0.000000,5.751463,-41.264423,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
7,0.116667,0,1,10.018151,17.114454,0.000000,2.789034,-38.274563,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
8,0.133333,0,1,10.006034,16.527807,0.000000,0.413854,-36.224518,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
9,0.150000,0,1,9.962086,15.960889,0.000000,-1.640979,-34.773273,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
10,0.166667,0,1,9.888186,15.408034,0.000000,-3.519079,-33.737843,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
11,0.183333,0,1,9.785007,14.864994,0.000000,-5.313915,-33.006351,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
